변전소명,회선명,전산화번호,선로명,선로번호,위도,경도,인근주소(참고자료),철거예정전주,구역(4등분)
천왕,왕도,9321X873,서교간,55R2L1,37.47884850,126.8527561,광명시 광명동 158-1284 BL,,1구역
천왕,왕도,9321X762,서교간,55R1,37.47873524,126.8525992,광명시 광명동 158-1284 BL,,1구역
천왕,왕도,9321X671,서교간,53,37.47906928,126.8516344,광명시 광명동 158-1288 BL,,1구역
천왕,왕도,9321H302,서교간,63,37.48029267,126.8500196,광명시 광명동 158-1293 BL,,1구역
천왕,왕도,9321X771,서교간,55,37.47883750,126.8522132,광명시 광명동 158-1324 BL,,1구역
천왕,왕도,9321H402,서교간,62,37.48016830,126.8504473,광명시 광명동 158-1329 BL,,1구역
천왕,왕도,9421P451,성도간,54R4R4,37.47808790,126.8564546,광명시 광명동 158-1336 BL,철거,1구역
천왕,진성,9421P092,천왕간,24R2R1,37.48000378,126.8539059,광명시 광명동 158-1356 BL,,1구역
천왕,진성,9321H811,천왕간,23L1,37.48057720,126.8529300,광명시 광명동 158-1363 BL,,1구역
천왕,진성,9321H801,천왕간,25,37.48028133,126.8531592,광명시 광명동 158-1377 BL,,1구역
신광명,서광,9421P033,왕일,8R1,37.47721330,126.8538525,광명시 광명동 158-1381 BL,,2구역
천왕,왕도,9421P842,성도간,26R5,37.47771054,126.8587292,광명시 광명동 158-1385 BL,,1구역
천왕,진성,9321H922,천왕간,28R1L1,37.48128223,126.8534371,광명시 광명동 158-141 BL,,1구역
천왕,왕도,9421P052,성도간,59,37.47814423,126.8543782,광명시 광명동 158-1412 BL,,1구역
천왕,진성,9321H924,천왕간,28R1L2,37.48133592,126.8532653,광명시 광명동 158-142 BL,,1구역
신광명,서광,9321X921,왕일,8R1R2,37.47674632,126.8537504,광명시 광명동 158-1484 W,,2구역
신광명,서광,9321X922,왕일,8R1R3,37.47650049,126.8536380,광명시 광명동 158-1487 W,,2구역
